12,
0.000000f,51.704357,51.704357,51.704357,
0.033000f,51.704357,51.704357,51.704357,
4.633000f,51.704357,51.704357,51.704357,
4.633000f,51.704357,51.704357,51.704357,
4.666000f,51.704357,51.704357,51.704357,
4.666000f,51.704357,51.704357,51.704357,
44.299000f,51.704357,51.704357,51.704357,
62.199001f,51.704357,51.704357,51.704357,
62.200001f,51.704357,51.704357,51.704357,
62.233002f,51.704357,51.704357,51.704357,
62.233002f,51.704357,51.704357,51.704357,
72.932999f,51.704357,51.704357,51.704357,
;
11,
0.000000f,0.000000,0.000000,0.000000,
4.633000f,0.000000,0.000000,0.000000,
4.633000f,0.000000,0.000000,0.000000,
4.666000f,0.000000,0.000000,0.000000,
4.666000f,0.000000,0.000000,0.000000,
44.299000f,0.000000,0.000000,0.000000,
62.199001f,0.000000,0.000000,0.000000,
62.200001f,0.000000,0.000000,0.000000,
62.233002f,0.000000,0.000000,0.000000,
62.233002f,0.000000,0.000000,0.000000,
72.932999f,0.000000,0.000000,0.000000,
;
1346,
0.000000f,-0.606170,0.107936,0.094068,-0.606170,0.107936,0.094068,-0.606170,0.107936,0.094068,
0.033000f,-0.606170,0.107936,0.094068,-0.606170,0.107936,0.094068,-0.606170,0.107936,0.094068,
4.633000f,-0.606170,0.107936,0.094068,-0.606170,0.107936,0.094068,-0.606170,0.107936,0.094068,
4.653000f,-0.606170,0.107936,0.094068,-0.606170,0.107936,0.094068,-0.606170,0.107936,0.094068,
4.666000f,-0.606170,0.107936,0.094068,-0.606170,0.107936,0.094068,-0.606170,0.107936,0.094068,
4.686000f,-7.424280,0.390229,0.400659,-7.424280,0.390229,0.400659,-7.424282,0.390242,0.400659,
4.700000f,-7.424310,0.390415,0.400659,-7.424301,0.390363,0.400659,-7.424329,0.390537,0.400660,
4.733000f,-7.424399,0.390970,0.400660,-7.424360,0.390726,0.400660,-7.424439,0.391214,0.400661,
4.766000f,-7.424548,0.391893,0.400662,-7.424489,0.391529,0.400661,-7.424609,0.392269,0.400663,
4.800000f,-7.424756,0.393179,0.400665,-7.424675,0.392681,0.400664,-7.424834,0.393663,0.400666,
4.833000f,-7.425021,0.394827,0.400668,-7.424924,0.394224,0.400667,-7.425118,0.395429,0.400669,
4.866000f,-7.425344,0.396831,0.400672,-7.425228,0.396111,0.400670,-7.425464,0.397573,0.400673,
4.900000f,-7.425725,0.399191,0.400676,-7.425586,0.398329,0.400674,-7.425860,0.400027,0.400678,
4.933000f,-7.426162,0.401901,0.400681,-7.426008,0.400949,0.400679,-7.426315,0.402853,0.400683,
4.966000f,-7.426655,0.404960,0.400687,-7.426483,0.403894,0.400685,-7.426833,0.406059,0.400689,
5.000000f,-7.427205,0.408365,0.400694,-7.427009,0.407149,0.400691,-7.427395,0.409545,0.400696,
5.033000f,-7.427809,0.412112,0.400701,-7.427600,0.410819,0.400698,-7.428017,0.413404,0.400703,
5.066000f,-7.428467,0.416198,0.400708,-7.428241,0.414794,0.400706,-7.428700,0.417644,0.400711,
5.100000f,-7.429181,0.420620,0.400717,-7.428929,0.419060,0.400714,-7.429425,0.422134,0.400720,
5.133000f,-7.429947,0.425375,0.400726,-7.429686,0.423751,0.400723,-7.430209,0.426998,0.400729,
5.166000f,-7.430767,0.430460,0.400736,-7.430488,0.428728,0.400732,-7.431055,0.432244,0.400739,
5.200000f,-7.431640,0.435872,0.400746,-7.431334,0.433977,0.400742,-7.431936,0.437711,0.400750,
5.233000f,-7.432565,0.441608,0.400757,-7.432251,0.439662,0.400753,-7.432879,0.443553,0.400761,
5.266000f,-7.433542,0.447664,0.400769,-7.433211,0.445613,0.400765,-7.433883,0.449777,0.400773,
5.300000f,-7.434569,0.454039,0.400781,-7.434211,0.451818,0.400777,-7.434917,0.456194,0.400785,
5.333000f,-7.435648,0.460727,0.400793,-7.435284,0.458469,0.400789,-7.436012,0.462986,0.400798,
